symbol,tf,signal,sl,tp,trades,wins,losses,open,winrate,netR,expectancyR
SOLUSDT,1h,rsi_sell,3,6,11,4,4,3,0.5000,3.60,0.4500
SOLUSDT,1h,div_bear,3,6,6,1,3,2,0.2500,-1.20,-0.3000
SOLUSDT,1h,div_bull,3,6,6,1,3,2,0.2500,-1.20,-0.3000
SOLUSDT,1h,rsi_buy,3,6,6,1,4,1,0.2000,-2.25,-0.4500
SOLUSDT,1h,rsi_sell,3,9,11,0,5,6,0.0000,-5.25,-1.0500
SOLUSDT,1h,div_bear,3,9,6,1,3,2,0.2500,-0.20,-0.0500
SOLUSDT,1h,div_bull,3,9,6,0,3,3,0.0000,-3.15,-1.0500
SOLUSDT,1h,rsi_buy,3,9,6,0,4,2,0.0000,-4.20,-1.0500
SOLUSDT,4h,rsi_sell,1,1,12,7,5,0,0.5833,0.20,0.0167
SOLUSDT,4h,rsi_buy,1,1,8,2,6,0,0.2500,-5.20,-0.6500
SOLUSDT,4h,div_bull,1,1,7,4,3,0,0.5714,-0.05,-0.0071
SOLUSDT,4h,div_bear,1,1,1,1,0,0,1.0000,0.85,0.8500
SOLUSDT,4h,rsi_sell,1,2,12,4,8,0,0.3333,-1.80,-0.1500
SOLUSDT,4h,rsi_buy,1,2,8,2,6,0,0.2500,-3.20,-0.4000
SOLUSDT,4h,div_bull,1,2,7,1,6,0,0.1429,-5.05,-0.7214
SOLUSDT,4h,div_bear,1,2,1,1,0,0,1.0000,1.85,1.8500
SOLUSDT,4h,rsi_sell,1,3,12,2,10,0,0.1667,-5.80,-0.4833
SOLUSDT,4h,rsi_buy,1,3,8,1,7,0,0.1250,-5.20,-0.6500
SOLUSDT,4h,div_bull,1,3,7,1,6,0,0.1429,-4.05,-0.5786
SOLUSDT,4h,div_bear,1,3,1,1,0,0,1.0000,2.85,2.8500
SOLUSDT,4h,rsi_sell,2,2,12,6,6,0,0.5000,-0.90,-0.0750
SOLUSDT,4h,rsi_buy,2,2,8,4,4,0,0.5000,-0.60,-0.0750
SOLUSDT,4h,div_bull,2,2,7,3,3,1,0.5000,-0.45,-0.0750
SOLUSDT,4h,div_bear,2,2,1,1,0,0,1.0000,0.93,0.9250
SOLUSDT,4h,rsi_sell,2,4,12,4,7,1,0.3636,0.18,0.0159
SOLUSDT,4h,rsi_buy,2,4,8,2,6,0,0.2500,-2.60,-0.3250
SOLUSDT,4h,div_bull,2,4,7,2,4,1,0.3333,-0.45,-0.0750
SOLUSDT,4h,div_bear,2,4,1,1,0,0,1.0000,1.93,1.9250
SOLUSDT,4h,rsi_sell,2,6,12,4,7,1,0.3636,4.17,0.3795
